		 PC	BP	SP	stack
Initial values:  0	66	65

  JMP 0   45	 45	66	65	
  INC 0   5	 48	66	70	0 0 0 0 0 
  CAL 0   6	 6	71	70	0 0 0 0 0 
  INC 0   4	 9	71	74	0 0 0 0 0 | 66 66 51 0 
Please Enter an Integer: 2  SYS 0   2	 12	71	75	0 0 0 0 0 | 66 66 51 0 2 
  STO 0   3	 15	71	74	0 0 0 0 0 | 66 66 51 2 
  LOD 0   3	 18	71	75	0 0 0 0 0 | 66 66 51 2 2 
  STO 1   3	 21	71	74	0 0 0 2 0 | 66 66 51 2 
  RTN 0   0	 51	66	70	0 0 0 2 0 
  LOD 0   3	 54	66	71	0 0 0 2 0 2 
  STO 0   4	 57	66	70	0 0 0 2 2 
  CAL 0   27	 27	71	70	0 0 0 2 2 
  INC 0   4	 30	71	74	0 0 0 2 2 | 66 66 60 2 
  LOD 1   4	 33	71	75	0 0 0 2 2 | 66 66 60 2 2 
  STO 0   3	 36	71	74	0 0 0 2 2 | 66 66 60 2 
  LOD 0   3	 39	71	75	0 0 0 2 2 | 66 66 60 2 2 
Output result is: 2
  SYS 0   1	 42	71	74	0 0 0 2 2 | 66 66 60 2 
  RTN 0   0	 60	66	70	0 0 0 2 2 
  SYS 0   3	 63	66	70	0 0 0 2 2 
